rank,tier,tier_reason,canonical_id,shelf_mark,institution_group,collection,ktiv_known,ktiv_ready,ktiv_manifest_url,ktiv_search_url
1,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_125_110,T-S NS 125.110,Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051487890205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,T-S%20NS%20125.110&searchType=METADATA&ftsMethod=0&searchName=regular"
2,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_329_163,"Cambridge University Library, Cambridge, England Ms. T-S NS 329.163",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051726840205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20NS%20329.163&searchType=METADATA&ftsMethod=0&searchName=regular"
3,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_329_431,"Cambridge University Library, Cambridge, England Ms. T-S NS 329.431",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051728680205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20NS%20329.431&searchType=METADATA&ftsMethod=0&searchName=regular"
4,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_329_640,"Cambridge University Library, Cambridge, England Ms. T-S NS 329.640",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051730280205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20NS%20329.640&searchType=METADATA&ftsMethod=0&searchName=regular"
5,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_178_27,"Cambridge University Library, Cambridge, England Ms. T-S NS 178.27",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051093630205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20NS%20178.27&searchType=METADATA&ftsMethod=0&searchName=regular"
6,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_J_185a,"Cambridge University Library, Cambridge, England Ms. T-S NS J 185a",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051750830205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20NS%20J%20185a&searchType=METADATA&ftsMethod=0&searchName=regular"
7,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_32_11,"Cambridge University Library, Cambridge, England Ms. T-S NS 32.11",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990001989630205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20NS%2032.11&searchType=METADATA&ftsMethod=0&searchName=regular"
8,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_72_15,"Cambridge University Library, Cambridge, England Ms. T-S AS 72.15",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051922220205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20AS%2072.15&searchType=METADATA&ftsMethod=0&searchName=regular"
9,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_AS_91_465,"Cambridge University Library, Cambridge, England Ms. T-S AS 91.465",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990051977420205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20AS%2091.465&searchType=METADATA&ftsMethod=0&searchName=regular"
10,1,"open+verified on KTIV, ~99% download success",Cambridge_CUL_T_S_NS_329_281,"Cambridge University Library, Cambridge, England Ms. T-S NS 329.281",Cambridge_CUL,Taylor-Schechter,True,True,https://iiif.nli.org.il/IIIFv21/DOCID/PNX_MANUSCRIPTS990001419490205171-1/manifest,"https://www.nli.org.il/en/discover/manuscripts/hebrew-manuscripts/searchresultspage?projectName=MANUSCRIPTS#q=lsr01,contains,all;any,contains,Cambridge%20University%20Library%2C%20Cambridge%2C%20England%20Ms.%20T-S%20NS%20329.281&searchType=METADATA&ftsMethod=0&searchName=regular"
