sys_id,n_ie,n_pages,n_lines,n_chars
990000412990205171,2,7,131,4272
990000413480205171,4,13,170,2020
990000414120205171,5,14,439,16926
990000432000205171,3,52,1558,63326
990000432020205171,4,62,1152,26047
990000465330205171,6,31,466,10193
990000465590205171,2,7,127,1875
990000465650205171,3,17,209,3749
990000465700205171,5,16,381,10009
990000539040205171,1,18,453,8019
990000555730205171,3,15,254,9060
990000555740205171,2,11,319,11452
990000555750205171,2,8,314,17215
990000555760205171,2,5,115,4772
990000555770205171,2,11,232,7841
990000555780205171,3,15,350,11685
990000555790205171,2,7,260,15812
990000555800205171,2,10,128,4592
990000555810205171,2,13,291,11278
990000555830205171,2,7,254,17266
990000555840205171,2,15,921,52919
990000555850205171,2,7,139,3164
990000555860205171,3,19,770,40481
990000555870205171,1,3,56,1149
990000555880205171,2,7,132,3365
990000571680205171,2,506,28582,396985
990000571690205171,1,253,13650,178088
990000571700205171,2,187,9978,126804
990000571710205171,2,20,769,14096
990000571720205171,2,506,27572,368292
990000571730205171,2,296,16326,419723
990000571740205171,3,198,11896,266673
990000571850205171,2,96,6468,93980
990000571860205171,1,24,1080,15081
990000571870205171,2,243,19355,407545
990000571880205171,2,504,35945,456688
990000571890205171,2,463,22247,327698
990000589160205171,2,162,8044,363648
990000617200205171,1,64,2169,75140
990000619720205171,2,503,33317,2834114
990000621930205171,2,443,39728,826843
990000621960205171,2,323,18154,957999
990000621970205171,2,506,35958,2186436
990000622310205171,1,14,397,18404
990000622320205171,1,8,173,5770
990000622330205171,1,9,210,7830
990000622340205171,1,10,240,4669
990000622350205171,1,8,193,3828
990000622630205171,1,178,7353,344859
990000622650205171,1,224,13834,1031165
990000622670205171,1,14,390,15388
990000622680205171,1,16,572,18348
990000622720205171,1,20,883,46609
990000622730205171,1,8,173,10201
990000622740205171,2,46,2096,143426
990000622750205171,1,14,249,4053
990000622760205171,1,45,1951,91498
990000623220205171,1,7,89,2215
990000628180205171,1,144,4920,170029
990000628290205171,2,506,26283,309534
990000628310205171,1,253,10711,399461
990000628420205171,2,44,1193,37421
990000629710205171,1,21,580,15872
990000635560205171,1,4,125,6435
990000635570205171,1,4,67,2827
990000635580205171,1,38,1133,32441
990000635590205171,1,8,371,19845
990000635610205171,1,43,1659,73060
990000635620205171,1,16,331,9759
990000635630205171,1,101,3575,142686
990000635680205171,1,45,2481,106384
990000635690205171,1,44,1501,61559
990000635700205171,1,14,357,13014
990000635710205171,2,100,4542,252128
990000635720205171,1,19,857,40051
990000635760205171,1,24,631,17189
990000635770205171,1,113,3790,152931
990000635780205171,1,136,4791,176202
990000635790205171,1,14,361,10496
990000635800205171,1,13,296,6590
990000635810205171,1,82,2670,106232
990000635820205171,1,146,4748,125319
990000639020205171,2,176,9591,260392
990000639330205171,1,30,1342,64633
990000648500205171,1,170,5748,276473
990000648510205171,1,191,9125,582625
990000648850205171,1,57,1734,43613
990000692840205171,2,59,1446,70891
990000737100205171,1,20,571,15127
990000766390205171,1,12,250,10121
990000800560205171,2,97,3034,136459
990000800570205171,1,50,1479,50526
990000800580205171,1,113,4371,180804
990000800590205171,1,13,260,7833
990000800600205171,1,8,104,3075
990000800630205171,1,138,4567,153341
990000800640205171,1,203,13691,649644
990000800670205171,1,40,2316,89426
990000800680205171,1,8,142,3779
990000800690205171,1,7,82,2051
990000800700205171,1,10,198,6970
990000800710205171,1,10,211,6349
990000800720205171,1,10,227,6453
990000800770205171,1,11,199,7591
990000800780205171,1,16,427,14249
990000800810205171,1,20,608,19963
990000800820205171,1,8,123,3007
990000800830205171,1,7,61,973
990000800840205171,1,37,892,24743
990000800870205171,1,14,250,7225
990000800880205171,1,8,102,2477
990000800900205171,1,43,1436,52180
990000801130205171,1,15,275,6311
990000801350205171,1,72,1932,49059
990000801470205171,1,24,701,24499
990000801480205171,2,13,254,6803
990000814570205171,1,16,349,9672
990000814600205171,1,11,344,9106
990000814610205171,1,8,102,2084
990000814630205171,1,19,433,11218
990000814640205171,1,28,916,21171
990000814650205171,1,16,349,8732
990000814660205171,2,50,1657,81275
990000814670205171,1,15,370,13208
990000814700205171,1,25,933,38335
990000826620205171,1,15,296,2363
990000839040205171,1,180,8604,604957
990000841910205171,1,61,1308,28195
990000843000205171,1,253,17401,996610
990000843090205171,1,103,6323,401445
990000843210205171,1,236,21090,1168842
990000845370205171,2,63,2741,130818
990000845710205171,1,28,1409,83067
990000845720205171,1,36,1170,32666
990000845730205171,1,190,9004,283484
990000845740205171,1,63,3102,131497
990000845950205171,1,228,30858,929283
990000846330205171,1,10,265,16908
990000846340205171,1,9,223,7937
990000846350205171,1,10,300,9717
990000846360205171,1,18,651,25383
990000846370205171,1,17,742,29746
990000846380205171,1,42,1476,52142
990000846430205171,1,171,9203,483503
990000846670205171,1,159,7801,414748
990000846740205171,1,31,1038,30750
990000846750205171,2,16,322,8008
990000846760205171,2,110,6935,326146
990000846770205171,1,99,3219,89836
990000846780205171,1,10,255,8600
990000846790205171,1,77,3062,95190
990000846800205171,1,56,1354,41256
990000846810205171,1,9,217,6953
990000846820205171,1,7,109,1138
990000846830205171,1,53,1924,50594
990000846840205171,1,10,206,5571
990000846850205171,1,8,93,1369
990000846860205171,1,7,74,1191
990000846870205171,1,9,139,2756
990000846880205171,1,10,218,5866
990000847270205171,1,16,398,10367
990000847280205171,2,136,4740,137559
990000847290205171,1,93,3600,150118
990000847300205171,1,121,5179,153762
990000847310205171,1,10,164,4225
990000847320205171,2,17,341,7239
990000848040205171,1,32,499,10615
990000848190205171,1,119,5460,235635
990000848210205171,1,16,632,28874
990000848220205171,1,26,1179,53076
990000848240205171,1,128,5905,245921
990000848260205171,1,239,16252,1484296
990000848270205171,1,8,93,2891
990000848340205171,1,18,527,20195
990000848410205171,1,12,348,10237
990000848480205171,1,28,1151,39724
990000848550205171,1,8,108,2784
990000848580205171,1,168,10038,620447
990000848970205171,1,79,5691,316595
990000849190205171,1,44,2378,115520
990000849270205171,1,179,10113,521015
990000849430205171,1,23,1057,51071
990000849440205171,1,116,6232,357591
990000849610205171,1,7,97,1298
990000849620205171,1,8,162,5200
990000849640205171,1,10,244,6053
990000849650205171,1,13,297,6540
990000849660205171,1,58,3697,109205
990000849740205171,1,16,581,13316
990000849750205171,1,10,213,9042
990000849780205171,1,8,92,1665
990000849790205171,1,7,89,1572
990000849800205171,1,7,35,428
990000849810205171,1,9,188,4973
990000849980205171,2,44,1363,58323
990000849990205171,1,44,2108,139207
990000850120205171,1,151,22288,610627
990000850140205171,1,104,5422,377889
990000850220205171,1,75,2789,67410
990000850230205171,1,110,16801,411824
990000850290205171,2,61,1690,62200
990000850300205171,1,66,1683,40387
990000850310205171,1,7,181,4157
990000850330205171,1,8,113,1316
990000850340205171,1,17,407,10248
990000850350205171,1,14,508,12158
990000850360205171,1,7,131,2461
990000850370205171,1,7,61,1204
990000850380205171,1,7,103,1637
990000850390205171,1,8,106,1598
990000850400205171,1,5,103,1083
990000850410205171,1,5,133,2321
990000850420205171,1,15,578,22342
990000850430205171,1,6,117,3117
990000850440205171,1,9,301,7697
990000850450205171,1,7,175,2846
990000850460205171,1,7,133,4437
990000850470205171,1,7,221,5598
990000850480205171,1,7,292,8153
990000850490205171,1,6,136,2238
990000850500205171,1,7,147,5502
990000850510205171,1,6,72,1206
990000850520205171,1,6,130,1706
990000850530205171,1,6,124,2503
990000850540205171,1,9,191,7048
990000850550205171,1,7,101,1121
990000850560205171,1,13,259,4965
990000850570205171,1,10,200,4501
990000850580205171,1,26,700,21461
990000850590205171,2,32,919,28029
990000850600205171,2,20,383,8598
990000850610205171,2,20,263,4955
990000850620205171,2,19,373,10772
990000850630205171,2,15,179,2433
990000850640205171,2,15,146,2079
